humidity_in,statetime
49.0,"2019-10-23 12:26:04"
48.0,"2019-10-23 12:25:54"
49.0,"2019-10-23 12:25:34"
50.0,"2019-10-23 12:25:14"
51.0,"2019-10-23 12:25:04"
52.0,"2019-10-23 12:24:54"
53.0,"2019-10-23 12:24:44"
52.0,"2019-10-23 12:24:24"
51.0,"2019-10-23 12:24:04"
50.0,"2019-10-23 12:23:54"
48.0,"2019-10-23 12:23:34"
47.0,"2019-10-23 12:23:24"
48.0,"2019-10-23 12:22:44"
49.0,"2019-10-23 12:22:34"
50.0,"2019-10-23 12:22:24"
51.0,"2019-10-23 12:22:14"
50.0,"2019-10-23 12:22:06"
51.0,"2019-10-23 12:21:54"
52.0,"2019-10-23 12:21:34"
53.0,"2019-10-23 12:20:24"
52.0,"2019-10-23 12:20:04"
51.0,"2019-10-23 12:19:54"
50.0,"2019-10-23 12:19:44"
49.0,"2019-10-23 12:19:24"
50.0,"2019-10-23 12:19:14"
51.0,"2019-10-23 12:19:04"
50.0,"2019-10-23 12:18:44"
51.0,"2019-10-23 12:18:24"
52.0,"2019-10-23 12:18:14"
53.0,"2019-10-23 12:17:44"
52.0,"2019-10-23 12:17:24"
50.0,"2019-10-23 12:17:14"
49.0,"2019-10-23 12:17:04"
48.0,"2019-10-23 12:16:54"
49.0,"2019-10-23 12:16:14"
50.0,"2019-10-23 12:15:24"
51.0,"2019-10-23 12:15:14"
52.0,"2019-10-23 12:15:04"
53.0,"2019-10-23 12:14:04"
52.0,"2019-10-23 12:13:34"
51.0,"2019-10-23 12:13:24"
50.0,"2019-10-23 12:13:14"
48.0,"2019-10-23 12:13:04"
47.0,"2019-10-23 12:12:54"
48.0,"2019-10-23 12:12:14"
49.0,"2019-10-23 12:11:44"
50.0,"2019-10-23 12:11:34"
51.0,"2019-10-23 12:11:04"
53.0,"2019-10-23 12:10:44"
52.0,"2019-10-23 12:10:24"
53.0,"2019-10-23 12:09:54"
52.0,"2019-10-23 12:09:34"
51.0,"2019-10-23 12:09:24"
50.0,"2019-10-23 12:09:14"
48.0,"2019-10-23 12:08:14"
49.0,"2019-10-23 12:08:04"
50.0,"2019-10-23 12:07:44"
51.0,"2019-10-23 12:07:04"
53.0,"2019-10-23 12:06:54"
54.0,"2019-10-23 12:06:46"
53.0,"2019-10-23 12:06:04"
52.0,"2019-10-23 12:05:44"
51.0,"2019-10-23 12:05:34"
50.0,"2019-10-23 12:05:24"
49.0,"2019-10-23 12:05:14"
48.0,"2019-10-23 12:04:14"
49.0,"2019-10-23 12:03:44"
50.0,"2019-10-23 12:03:24"
51.0,"2019-10-23 12:03:04"
53.0,"2019-10-23 12:02:34"
52.0,"2019-10-23 12:02:24"
51.0,"2019-10-23 12:02:04"
50.0,"2019-10-23 12:01:54"
49.0,"2019-10-23 12:01:44"
48.0,"2019-10-23 12:01:34"
49.0,"2019-10-23 12:00:44"
50.0,"2019-10-23 12:00:34"
51.0,"2019-10-23 12:00:24"
52.0,"2019-10-23 12:00:16"
53.0,"2019-10-23 12:00:04"
52.0,"2019-10-23 11:59:54"
51.0,"2019-10-23 11:59:44"
50.0,"2019-10-23 11:59:34"
49.0,"2019-10-23 11:59:24"
48.0,"2019-10-23 11:58:24"
49.0,"2019-10-23 11:58:04"
50.0,"2019-10-23 11:57:54"
49.0,"2019-10-23 11:57:34"
